Venue,Citations
ACM SIGSOFT Software Engineering Notes,162.0
ACM Sigmod Record,19.0
ACM TODS,234.0
ACM TODS ,29.0
ACM TRANS. DATABASE SYST,390.0
ACM TRANS. ON DATABASE SYSTEMS,502.0
ACM TRANSACTIONS ON DATABASE SYSTEMS,267.0
ACM TRANSACTIONS ON DATABASE SYSTEMS (TODS,36.0
ACM TRANSACTIONS ON DATABASE SYSTEMS (TODS),13.0
ACM Trans. Algorithms,0.0
ACM Trans. Database Syst,748.0
ACM Trans. Database Syst.,33056.0
"ACM Trans. Database Syst. 33(4), Article",45.0
ACM Trans. Database Systems,3.0
ACM Trans. Database Systems (TODS,153.0
ACM Trans. Graph.,372.0
ACM Trans. Inf. Syst.,37.0
ACM Trans. Internet Techn.,82.0
ACM Trans. on Database Systems,25.0
ACM Transactions On Database Systems,51.0
ACM Transactions on Computational Logic (TOCL),6.0
ACM Transactions on Database Systems,3525.0
ACM Transactions on Database Systems (TODS,133.0
ACM Transactions on Database Systems (TODS),10982.0
ACM Transactions on Database Systems (TODS) - Best of SIGMOD 2016 Papers and Regular Papers,0.0
"ACM Transactions on Database Systems (TODS) - Invited Articles Issue, SIGMOD 2013, PODS 2013 and ICDT 2013",8.0
"ACM Transactions on Database Systems (TODS) - Invited Paper from EDBT 2015, Invited Paper from PODS 2015 and Regular Papers",26.0
"ACM Transactions on Database Systems (TODS) - Invited Paper from ICDT 2014, Invited Paper from EDBT 2015, Regular Papers and Technical Correspondence",8.0
"ACM Transactions on Database Systems (TODS) - Invited Paper from ICDT 2015, SIGMOD 2014, EDBT 2014 and Regular Papers",7.0
ACM Transactions on Database Systems (TODS) - Invited Paper from SIGMOD 2014 and Regular Papers,2.0
"ACM Transactions on Database Systems (TODS) - Invited Paper from SIGMOD 2015, Invited Paper from PODS 2015 and Regular Papers",6.0
"ACM Transactions on Database Systems (TODS) - Invited Paper from SIGMOD 2015, Invited Paper from PODS 2015, Regular Papers and Technical Correspondence",4.0
"ACM Transactions on Database Systems (TODS) - Invited Paper from SIGMOD 2016, Invited Paper from PODS 2016, Invited Paper from ICDT 2016 and Regular Papers",1.0
ACM Transactions on Database Systems (TODS) - Invited papers issue,97.0
ACM Transactions on Database Systems (TODS) - Special Issue,1034.0
ACM Transactions on Database Systems (TODS) - Special Issue: SIGMOD/PODS 2004,10.0
ACM Transactions on Information and System Security (TISSEC),11.0
"ACM Transactions on Intelligent Systems and Technology (TIST) - Survey Paper, Special Issue",1.0
ACM Transactions on Knowledge Discovery from Data (TKDD),4002.0
ACM Transactions on Spatial Algorithms and Systems (TSAS),0.0
ACM-SIGMOD Int. Conf,21.0
ACNS,14.0
AD '11,19.0
ADC '11,1.0
ADMS@VLDB,94.0
AMW,3.0
APWeb,2.0
ASIACCS '10,3.0
ASONAM '14,0.0
Advances in Database Systems,0.0
Advances in Database Technology,29.0
Advances in Database Technology-EDBT 2002: 8th International Conference on Extending Database Technology; Prague; Czech Republic; March 25-27; Proceedings,0.0
Advances in Database Technology-EDBT 2004,283.0
Advances in Database Technology-EDBT 2006,14.0
Advances in Database Technology-EDBT 2014: Proceedings of the 17th International Conference on Extending Database Technology,0.0
Advances in Database Technology-EDBT 2016: 19th International Conference on Extending Database Technology: Bordeaux; France; March 15-16: proceedings,0.0
Advances in Database Technology-EDBT'88: International Conference on Extending Database Technology Venice; Italy; March 14-18; 1988. Proceedings,0.0
Advances in Database Technology-EDBT'98: 6th International Conference on Extending Database Technology; Valencia; Spain; March 23-27; 1998.,1.0
Advances in Database Technology-Proceedings of the 6th International Conference on Extending Database (EDBT'98),5.0
Advances in Database TechnologyEDBT 2000,709.0
Advances in Database TechnologyEDBT 2002,300.0
Advances in Database TechnologyEDBT'88,33.0
Advances in Database TechnologyEDBT'96,46.0
Advances in Database TechnologyEDBT'98,60.0
Algorithmic Probability and Friends,0.0
Algorithmica,6.0
Analysis of the n-dimensional quadtree decomposition for arbitrary hyper-rectangles,70.0
"Analyzing Analytics,Synthesis Lectures on Computer Architecture",0.0
Ann. Math. Artif. Intell.,0.0
Annals of Mathematics and Artificial Intelligence,72.0
Answering Queries Using Views,0.0
"Answering Queries Using Views,Synthesis Lectures on Data Management",0.0
Arxiv preprint arXiv:0909.1768 (also in Proc CIDR'2009),99.0
Arxiv preprint cs/0612113 (also in Proc CIDR'2007 pp 314-323),18.0
Association for Computing Machinery SIGMOD Record,3.0
Atomicity in System Design and Execution,0.0
BD3@ VLDB,11.0
BD3@VLDB,13.0
BDA,31.0
BEWEB '11,2.0
BIRTE,91.0
BNCOD,0.0
BTW,109.0
Bell Laboratories Tech. Memorandum,28.0
Best Papers of ICDE 2009 Special Issue,8.0
BeyondMR '16,4.0
BeyondMR@SIGMOD,34.0
Biennial Conference on Innovative Data Systems Research (CIDR 2017),2.0
CCS '15,17.0
CHI '12,0.0
CIDR,9774.0
CIDR 2007; Third Biennial Conference on Innovative Data Systems Research; Asilomar; CA; USA; January 7-10; 2007; Online Proceedings,0.0
CIDR 2009,36.0
CIDR 2013,72.0
CIDR 2015,42.0
CIDR 2017; 8th Biennial Conference on Innovative Data Systems Research; Chaminade; CA; USA; January 8-11; 2017; Online Proceedings,6.0
CIDR; 2005,2.0
CIKM,891.0
CIKM '01,17.0
CIKM '02,6.0
CIKM '05,18.0
CIKM '06,2.0
CIKM '07,25.0
CIKM '08,4.0
CIKM '09,18.0
CIKM '10,15.0
CIKM '11,42.0
CIKM '12,127.0
CIKM '13,30.0
CIKM '14,24.0
CIKM '15,33.0
CIKM '16,22.0
CIKM '17,7.0
CIKM '94,3.0
CIKM '98,12.0
CIKM '99,1.0
CIKM 2012,98.0
CIKM 2013,4.0
CIKM 2017,0.0
COMAD,74.0
COMAD/CODS,0.0
CSIE,0.0
CleanDB,0.0
Clinical Orthopaedics and Related Research,69.0
CoDS-COMAD '18,0.0
CoRR,567.0
Commun. ACM,468.0
Communications of The ACM,271.0
Communications of the ACM,61.0
"Computer Science Department, Florida State University",83.0
Computer Standards & Interfaces - Special volume on the Object-Oriented Database Task Group,349.0
Computer Vision and Image Understanding,0.0
Conference on Innovative Data Systems Research,266.0
Coupling production systems and database systems: a homogeneous approach,46.0
"Current Trends in Database Technology EDBT 2004 Workshops: PhD, DataX, PIM, P2PDB, ClustWeb",5.0
Current Trends in Database Technology-EDBT 2004 Workshops,48.0
Current Trends in Database Technology: EDBT 2004 Workshops; PhD; DataX; PIM; P2P&DB; and Clustweb; Heraklion; Crete; Greece; March 14-18; 2004: Revised Selected Papers,0.0
Current Trends in Database TechnologyEDBT 2006,16.0
DAMDID/RCDL,0.0
DASFAA,22.0
DBCrowd 2013-VLDB Workshop on Databases and Crowdsourcing,60.0
DBPL,1.0
DBPL 2015,1.0
DBSocial,90.0
DBSocial '12,7.0
DBSocial '13,12.0
DEEM'17,1.0
DEXA,0.0
DILS,146.0
DISC,22.0
DMAH@VLDB,2.0
DMKD,1473.0
DMKD '03,364.0
DMKD '04,42.0
DMSN,419.0
DMSN '04,71.0
DMSN '06,2.0
DMSN '07,8.0
DNIS,102.0
DSDE,0.0
"Data Always and Everywhere - Management of Mobile, Ubiquitous, Pervasive, and Sensor Data",41.0
Data Engineering,543.0
Data Engineering (ICDE); 2010 IEEE 26th International Conference on,5359.0
Data Engineering (ICDE); 2011 IEEE 27th International Conference on,7775.0
Data Engineering (ICDE); 2012 IEEE 28th International Conference on,5175.0
Data Engineering (ICDE); 2013 IEEE 29th International Conference on,5040.0
Data Engineering (ICDE); 2014 IEEE 30th International Conference on,3520.0
Data Engineering (ICDE); 2015 IEEE 31st International Conference on,2983.0
Data Engineering (ICDE); 2016 IEEE 32nd International Conference on,891.0
Data Engineering (ICDE); 2017 IEEE 33rd International Conference on,196.0
Data Engineering (ICDE); 2017 IEEE 33rd International Conference on. IEEE; 2017,19.0
Data Engineering Workshop; 2008. ICDEW 2008. IEEE 24th International Conference on,735.0
Data Engineering Workshops (ICDEW); 2010 IEEE 26th International Conference on,531.0
Data Engineering Workshops (ICDEW); 2011 IEEE 27th International Conference on,158.0
Data Engineering Workshops (ICDEW); 2012 IEEE 28th International Conference on,282.0
Data Engineering Workshops (ICDEW); 2013 IEEE 29th International Conference on,409.0
Data Engineering Workshops (ICDEW); 2014 IEEE 30th International Conference on,115.0
Data Engineering Workshops (ICDEW); 2015 31st IEEE International Conference on,104.0
Data Engineering Workshops (ICDEW); 2016 IEEE 32nd International Conference on,31.0
"Data Engineering, 2005. ICDE 2005. Proceedings. 21st International Conference on",19.0
Data Engineering; 2005. ICDE 2005. Proceedings. 21st International Conference on,10078.0
Data Engineering; 2006. ICDE'06. Proceedings of the 22nd International Conference on,16025.0
Data Engineering; 2007. ICDE 2007. IEEE 23rd International Conference on,18319.0
Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,15790.0
Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,13420.0
Data Knowl. Eng.,0.0
Data Min. Knowl. Discov.,423.0
Data Mining,3.0
Data Mining (ICDM); 2010 IEEE 10th International Conference on,1190.0
Data Mining (ICDM); 2011 IEEE 11th International Conference on,1118.0
Data Mining (ICDM); 2012 IEEE 12th International Conference on,1075.0
Data Mining (ICDM); 2013 IEEE 13th International Conference on,673.0
Data Mining (ICDM); 2014 IEEE International Conference on,350.0
Data Mining (ICDM); 2015 IEEE International Conference on,194.0
Data Mining (ICDM); 2016 IEEE 16th International Conference on,116.0
Data Mining (ICDM); 2017 IEEE International Conference on,2.0
Data Mining Workshop (ICDMW); 2014 IEEE International Conference on,47.0
Data Mining Workshop (ICDMW); 2015 IEEE International Conference on,17.0
Data Mining Workshops (ICDMW); 2010 IEEE International Conference on,66.0
Data Mining Workshops (ICDMW); 2011 IEEE 11th International Conference on,43.0
Data Mining Workshops (ICDMW); 2012 IEEE 12th International Conference on,104.0
Data Mining Workshops (ICDMW); 2013 IEEE 13th International Conference on,47.0
Data Mining Workshops (ICDMW); 2016 IEEE 16th International Conference on,21.0
Data Mining Workshops (ICDMW); 2017 IEEE International Conference on,0.0
Data Mining Workshops; 2006. ICDM Workshops 2006. Sixth IEEE International Conference on,136.0
Data Mining Workshops; 2007. ICDM Workshops 2007. Seventh IEEE International Conference on,216.0
Data Mining Workshops; 2008. ICDMW'08. IEEE International Conference on,143.0
Data Mining Workshops; 2009. ICDMW'09. IEEE International Conference on,54.0
Data Mining and Knowledge Discovery,3743.0
"Data Mining, 2009. ICDM09. Ninth IEEE International Conference on",13.0
Data Mining; 2001. ICDM 2001; Proceedings IEEE International Conference on,5385.0
Data Mining; 2002. ICDM 2002. Proceedings. 2002 IEEE International Conference on,46.0
Data Mining; 2002. ICDM 2003. Proceedings. 2002 IEEE International Conference on,5695.0
Data Mining; 2003. ICDM 2003. Third IEEE International Conference on,768.0
Data Mining; 2004. ICDM'04. Fourth IEEE International Conference on,1190.0
Data Mining; 2006. ICDM'06. Sixth International Conference on,1483.0
Data Mining; 2007. ICDM 2007. Seventh IEEE International Conference on,1641.0
Data Mining; 2008. ICDM'08. Eighth IEEE International Conference on,2158.0
Data Mining; 2009. ICDM'09. Ninth IEEE International Conference on,1381.0
Data Mining; 2012. ICDM'12. Ninth IEEE International Conference on,22.0
Data Privacy and Security,0.0
"Data Processing on FPGAs,Synthesis Lectures on Data Management",0.0
Data Stream Management,68.0
Data engineering (ICDE); 2010 IEEE 26th international conference on,76.0
Data engineering (ICDE); 2012 IEEE 28th international conference on,344.0
Data engineering (ICDE); 2013 ieee 29th international conference on,42.0
Data engineering (icde); 2010 ieee 26th international conference on,70.0
Data engineering (icde); 2012 ieee 28th international conference on,306.0
Data engineering (icde); 2014 ieee 30th international conference on,111.0
Data engineering workshop; 2008. ICDEW 2008. IEEE 24th International Conference on,372.0
Data mining (ICDM); 2010 IEEE 10th international conference on,46.0
Data mining workshops (ICDMW); 2012 IEEE 12th international conference on,20.0
Data mining; 2008. ICDM'08. Eighth IEEE international conference on,418.0
DataX '08,2.0
DataX '08 Proceedings of the 2008 EDBT workshop on Database technologies for handling XML information on the web,0.0
Databases in Telecommunications II: VLDB 2001 International Workshop; DBTel 2001 Rome; Italy; September 10; 2001 Proceedings,0.0
Declarative querying for biological sequences,36.0
Demo Session Proceedings of International Conference on Extending Database Technology (EDBT98),8.0
Description Logics,0.0
Distributed and Parallel Databases,0.0
EC,110.0
EC '00,14.0
EDBT,24420.0
EDBT '08,514.0
EDBT '09,925.0
EDBT '10,613.0
EDBT '12,376.0
EDBT '13,337.0
EDBT '94 Proceedings of the 4th international conference on extending database technology: Advances in database technology,27.0
EDBT 2006,50.0
EDBT 2014,20.0
EDBT 2015,27.0
EDBT 2016,2.0
EDBT PhD Workshop,0.0
EDBT Workshops,1359.0
EDBT-ICDT '12,87.0
EDBT/ICDT '09,15.0
EDBT/ICDT '11,346.0
EDBT/ICDT 2015 Joint Conference,1.0
EDBT/ICDT 2015 WorkshopsGraphQ,7.0
EDBT/ICDT 2016 Workshops: EDBT Workshop on Querying Graph Structured Data (GraphQ),15.0
EDBT/ICDT 2017 Joint Conference: 6th International Workshop on Querying Graph Structured Data (GraphQ),1.0
EDBT/ICDT Array Databases Workshop,44.0
EDBT/ICDT Ph.D. Workshop,4.0
EDBT/ICDT Workshops,635.0
EDBT: 18th International Conference on Extending Database Technology,38.0
EDBT: 20th International Conference on Extending Database Technology,0.0
EXTENDING DATABASE TECHNOLOGY (EDBT),98.0
Electronic Proceedings of the 6th International Workshop on Networking Meets Databases (Co-located with SIGMOD 2011); Athens,16.0
Encyclopedia of GIS,84.0
"Entity Resolution in the Web of Data,Synthesis Lectures on the Semantic Web - Theory and Technology",0.0
Extending Database Technology,850.0
Extending Database Technology (EDBT); 2012 ACM 15th International Conference on,80.0
FIMI,198.0
FQAS,22.0
FSKD,0.0
Fault-Tolerant Distributed Computing,0.0
Fifth IEEE International Conference on Data Mining (ICDM'05),9.0
Food Chemistry,0.0
Fourth IEEE International Conference on Data Mining (ICDM'04),363.0
Frontiers Comput. Sci. China,0.0
Frontiers of Computer Science,58.0
Frontiers of Computer Science in China,122.0
Frontiers of Multimedia Research,0.0
"GEMO, Inria Futurs",28.0
GIS '02,10.0
GIS '06,5.0
GRADES,259.0
GRADES '13,87.0
GeoInformatica,0.0
GeoRich '16,5.0
GeoRich@SIGMOD,27.0
GraphQ: 5th international workshop on Querying Graph Structured Data (Satellite event at EDBT/ICDT 16),1.0
HILDA '16,1.0
HILDA'17,0.0
HILDA@SIGMOD,2.0
HPTS,87.0
Home Healthcare Nurse: The Journal for The Home Care and Hospice Professional,280.0
ICA3PP,0.0
ICDE,39492.0
ICDE &apos;09 Proceedings of the 2009 IEEE International Conference on Data Engineering,20.0
ICDE '05 Proceedings of the 21st International Conference on Data Engineering,51.0
ICDE '08 Proceedings of the 2008 IEEE 24th International Conference on Data Engineering,300.0
ICDE '09 Proceedings of the 2009 IEEE International Conference on Data Engineering,62.0
ICDE '13 Proceedings of the 2013 IEEE International Conference on Data Engineering (ICDE 2013),1.0
ICDE (Demo,21.0
ICDE 2005,24.0
ICDE 2009 2009,44.0
ICDE 2012,182.0
ICDE 2013,127.0
ICDE 2014,98.0
ICDE 2015,82.0
ICDE Demo Sessions,13.0
ICDE Workshops,1074.0
ICDE'15 Workshop (SSEPM 2015),1.0
ICDM,8405.0
ICDM '15 Proceedings of the 2015 IEEE International Conference on Data Mining (ICDM),0.0
ICDM 2013 IEEE International Conference on Data Mining,7.0
ICDM 2017: IEEE International Conference on Data Mining,1.0
ICDM Workshop on Text Mining (TextDM'01),42.0
ICDM Workshops,451.0
"ICDM Workshops 2006. Sixth IEEE International Conference on Volume , Issue , Dec. 2006 Page(s):337 342 Digital Object Identifier 10.1109/ICDMW.2006.81",7.0
ICDT,225.0
ICDT '11,21.0
ICDT '12,3.0
ICEIS,0.0
ICON,84.0
IDAR '08,9.0
IDAR '10,3.0
IDEAS,182.0
IEEE 25th International Conference on Data Engineering (ICDE); Shanghai; China,0.0
IEEE 26th International Conference on Data Engineering (ICDE),69.0
IEEE 29th International Conference on Data Engienering (ICDE),5.0
IEEE 31th International Conference on Data Engineering; Seoul; ICDE,4.0
IEEE 32nd International Conference on Data Engineering (ICDE),20.0
IEEE 33rd International Conference on Data Engineering (ICDE),1.0
IEEE CLOUD,0.0
IEEE Computer Society,0.0
IEEE Data Eng. Bull,34.0
IEEE Data Eng. Bull.,0.0
IEEE Data Engineering Bulletin,82.0
IEEE ICDE 2012,23.0
IEEE ICDE'05; The 21st International Conference on Data Engineering,0.0
IEEE INTERNATIONAL CONFERENCE ON DATA ENGINEERING ,14.0
IEEE International Conference on Data Mining,201.0
IEEE International Conference on Data Mining (ICDM); Maebashi City; Japan; December 2002,11.0
IEEE International Conference on DataMining,60.0
IEEE Internet Computing,96.0
IEEE Internet of Things Journal,0.0
IEEE Pervasive Computing,40.0
IEEE TKDE,439.0
IEEE TKDE 2014,40.0
IEEE TKDE 2016,55.0
IEEE TRANS. KNOWL. DATA ENG,61.0
IEEE TRANS. KNOWLEDGE AND DATA ENG,22.0
IEEE TRANSACTIONS KNOWLEDGE AND DATA ENGINEERING,392.0
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,1323.0
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING ,13.0
IEEE Trans. Knowl. Data Eng,432.0
IEEE Trans. Knowl. Data Eng.,37597.0
IEEE Trans. Knowledge and Data Eng,35.0
IEEE Trans. Knowledge and Data Engineering,19.0
IEEE Trans. on Data and Knowledge Engineering,6.0
IEEE Trans. on Knowledge Data Engineering,15.0
IEEE Trans. on Knowledge and Data Engg,6.0
IEEE Trans. on Knowledge and Data Engineering,30.0
"IEEE Transaction on Knowledge and Data Engineering, Vol",3.0
IEEE Transactions On Knowledge and Data Engineering,22.0
IEEE Transactions on Knowledge Discovery and Data Engineering,4.0
IEEE Transactions on Knowledge and Data Eng,171.0
IEEE Transactions on Knowledge and Data Engineering,17322.0
IEEE Transactions on Knowledge and Data Engineering (TKDE,97.0
"IEEE Transactions on Knowledge and Data Engineering (TKDE), Volume 24, Issue",10.0
IEEE Transactions on Reliability,346.0
IEEE WISA,0.0
"IEEE-International Conference On Advances In Engineering, Science And Management (ICAESM -2012)",28.0
IEEE/ACM Transactions on Computational Biology and Bioinformatics (TCBB),0.0
IEICE Transactions,0.0
IMDM '15,1.0
IMDM@VLDB,9.0
IMMoA,0.0
IMMoA 2013-International Workshop on Information Management in Mobile Application (in conjunction with VLDB 2013),5.0
IN,10.0
IN CIDR,135.0
IN DMSN 04: PROCEEEDINGS OF THE 1ST INTERNATIONAL WORKSHOP ON DATA MANAGEMENT FOR SENSOR NETWORKS,25.0
IN EDBT,35.0
IN EDBT WORKSHOPS,10.0
IN FIRST HELLENIC DATA MANAGEMENT SYMPOSIUM (HDMS,4.0
IN ICDE,246.0
IN ICDE12,11.0
IN INTERNATIONAL WORKSHOP ON THE WEB AND DATABASES (WEBDB,13.0
IN PODS,360.0
"IN PROC. 24TH INT. CONF. VERY LARGE DATA BASES, VLDB",69.0
"IN PROC. ACM SIGMOD/PODS WORKSHOP ON XQUERY IMPLEMENTATION, EXPERIENCE AND PERSPECTIVES (XIME-P",3.0
IN PROC. EDBT CONF,42.0
IN PROC. INT. CONF. ON DATA ENG. (ICDE,10.0
IN PROC. OF ACM SIGMOD INT. CONF. ON MANAGEMENT OF DATA,105.0
IN PROC. OF NTII,1.0
IN PROC. OF SIGMOD INTERNATIONAL CONFERENCE ON MANAGEMENT OF DATA,27.0
IN PROC. OF THE 21ST INT. CONF. ON VERY LARGE DATA BASES,41.0
IN PROC. OF THE 23TH INTL CONFERENCE ON DATA ENGINEERING (ICDE,15.0
IN PROC. OF THE 29TH INTL CONFERENCE ON VERY LARGE DATABASES (VLDB,206.0
IN PROC. OF THE 30TH INTL CONFERENCE ON VERY LARGE DATABASES,6.0
"IN PROC. OF THE 32ND INTERNATIONAL CONFERENCE ON VERY LARGE DATA BASES, VLDB",466.0
"IN PROC. OF THE CONFERENCE FOR INNOVATIVE DATABASE RESEARCH (CIDR), ASILOMAR",4.0
IN PROC. OF VLDB,119.0
IN PROC. SIGMOD,14.0
"IN PROC.ACM SIGMOD INT. CONF. MGMT. OF DATA, 2006",21.0
"IN PROCEEDING OF THE 9TH INTERNATIONAL CONFERENCE ON EXTENDING DATABASE TECHNOLOGY (EDBT), HERAKLION",4.0
IN PROCEEDINGS OF ICDE,2.0
IN PROCEEDINGS OF THE 13TH INTERNATIONAL CONFERENCE ON EXTENDING DATABASE TECHNOLOGY (EDBT,4.0
IN PROCEEDINGS OF THE 27TH INTERNATIONAL CONFERENCE ON DATA ENGINEERING (ICDE,3.0
IN PROCEEDINGS OF THE 6TH ACM SYMPOSIUM ON PRINCIPLES OF DATABASE SYSTEMS,13.0
IN PROCEEDINGS OF THE ELEVENTH SYMPOSIUM ON PRINCIPLES OF DATABASE SYSTEMS (PODS,34.0
IN PROCEEDINGS OF THE IEEE INTERNATIONAL CONFERENCE ON IMAGES PROCESSING (ICIP,7.0
IN PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE DATA BASES,74.0
IN PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE DATABASES,466.0
IN PROCEEDINGS OF THE WORKSHOP ON DATA MINING FOR CYBER THREAT ANALYSIS,4.0
IN PROCEEDINGS OF VERY LARGE DATA BASE CONFERENCE,60.0
IN PROCEEDINGS OF VLDB,34.0
IN PROCEEDINGS OF VLDB07,14.0
IN SIGMOD,772.0
IN THE ACM SIGMOD CONF,45.0
IN VLDB,2391.0
IN VLDB &apos;09: PROCEEDINGS OF THE VLDB ENDOWMENT,94.0
IN VLDB 2006,11.0
"IN WEBDB, PARIS, FRENCE",13.0
IN: EDBT ,26.0
"IN: ICDE 2009: PROC. OF THE 25TH INT. CONF. ON DATA ENGINEERING. IEEE COMPUTER SOCIETY, LOS ALAMITOS",48.0
IN: ICDM,7.0
IN: PROC. 2008 INT. CONF. ON DATA MINING (ICDM 2008,22.0
IN: PROC. IEEE ICDE.  ,92.0
IN: PROCEEDINGS OF THE 22TH INTERNATIONAL CONFERENCE ON VERY LARGE DATA BASES (VLDB,159.0
IN: PROCEEDINGS OF THE 25TH ACM SIGMOD INTERNATIONAL CONFERENCE ON MANAGEMENT OF DATA / PRINCIPLES OF DATABASE SYSTEMS. CHICAGO,3.0
IN: SIGMOD,447.0
INFORMATION SYSTEMS,44.0
INFOVIS,0.0
INT. CONF. ON VLDB,36.0
INTERNATIONAL CONFERENCE ON DATA ENGINEERING (ICDE),4.0
INTERNATIONAL CONFERENCE ON EXTENDING DATABASE TECHNOLOGY (EDBT),20.0
INTERNATIONAL CONFERENCE ON MANAGEMENT OF DATA,1261.0
INTERNATIONAL CONFERENCE ON VERY LARGE DATA BASES,182.0
ISBRA,0.0
ISCA '98,0.0
"ISSUE 12, DEC. 2005 PAGE(S): 16941705 175",3.0
In 1st Int. Workshop on Database Technologies for Handling XML Information on the Web,4.0
In 1st Intl Workshop on Mining Complex Data MCD,5.0
In 23rd International Conference on Very Large Databases (VLDB &apos;97,28.0
In 24th International Conference on Data Engineering (ICDE) (2008,16.0
In 28th ACM Symposium on Principles of Database Systems (PODS,1.0
In 33rd International Conference on Very Large Data Bases,8.0
In 7th International Conference on Extending Database Technology (EDBT,48.0
In 9th Int. Conference on Extending Database Technology (EDBT,59.0
In 9th Intl Conf. on Extending DataBase Technology,19.0
"In ACM International Conference on Management of Data (SIGMOD). 706717. ACM Transactions on Database Systems, Vol. ?, No. ?, ? 20?. Â°‚Â¨Â¢‚Â· Vassilis Athitsos et al",23.0
In ACM SIGACT-SIGMODSIGART Symposium on Principles of Database Systems,9.0
In ACM SIGKDD Workshop on Hot Topics in Online Social Networks,16.0
In ACM SIGMOD,292.0
In ACM SIGMOD Conference,68.0
In ACM SIGMOD Conference on Management of Data,130.0
In ACM SIGMOD International Conference on Management of Data,136.0
In ACM SIGMOD International Conference on Management of Data (SIGMOD,324.0
In ACM SIGMOD Intl. Conf. on Management of Data,0.0
In ACM Symposium on Principles of Database Systems,27.0
"In Advances in Database Technology EDBT 2006, 10th International Conference on Extending Database Technology",6.0
In BIRTE,3.0
In CIDR,1723.0
In CIDR 2013,14.0
In CIKM,51.0
"In CIKM, Poster",4.0
In Cornell Technical Report,14.0
In DMKD,8.0
In DMSN,4.0
In DMSN 04: Proceeedings of the 1st international workshop on Data management for sensor networks,8.0
"In Data Engineering (ICDE), 2012 IEEE 28th International Conference on",6.0
"In Data Warehousing and Knowledge Discovery, Proceedings",6.0
In EDBT,537.0
In EDBT (To appear,40.0
"In EDBT 02: Proceedings of the Worshops XMLDM, MDDE, and YRWS on XML-Based Data Management and Multimedia Engineering-Revised Papers",8.0
In EDBT 09,10.0
In EDBT 2009,15.0
In EDBT Workshops,32.0
"In EDBT, 401412",8.0
"In EDBT, volume 3896 of LNCS",32.0
In EDBT/ICDT,10.0
In EDBT/ICDT Workshops,3.0
In EDBT06,12.0
In EDBT09,60.0
In EDBT98,30.0
In Extending Database Technology,13.0
In Extending Database Technology (EDBT&apos;88) [Lecture Notes in Computer Science 303,14.0
In First Intl. Workshop on Accelerating Data Management Systems Using Modern Processor and Storage Architectures (ADMS*10,10.0
In ICDE,3094.0
In ICDE 05: Proceedings of the 21 st International Conference on Data Engineering (ICDE05,11.0
In ICDE 09,34.0
In ICDE 09: Proceedings of the 25th International Conference on Data Engineering,68.0
In ICDE 12,16.0
In ICDE 2005,8.0
In ICDE 2008,15.0
In ICDE 2013,7.0
In ICDE 2015. IEEE,1.0
In ICDE Demo,4.0
In ICDE Workshops,9.0
In ICDE [63,5.0
In ICDE-06,31.0
In ICDE. 66,110.0
In ICDE. 846855,60.0
In ICDE05,30.0
In ICDE06,7.0
In ICDE07,30.0
In ICDE08: Proceedings of the 24th International Conference on Data Engineering,4.0
In ICDE09,25.0
"In ICDE: 2011 IEEE 27th International Conference on Data Engineering. IEEE,2011",6.0
In ICDM,357.0
In ICDM (Runner-up for Best paper award,3.0
In ICDT,63.0
In IEEE 23rd International Conference on Data Engineering,28.0
In IEEE 24th Intl. Conference on Data Engineering,30.0
In IEEE International Conference on Data Engineering,2.0
In IEEE International Conference on Data Engineering (ICDE) (2007,78.0
In IEEE Intl. Conference on Data Mining 02,0.0
In IEEE Trans. Know. Dat. Engr,1.0
In IEEE Transactions on Knolwedge and Data Engineering,49.0
In IEEE Transactions on Knowledge and Data Engineering (TKDE,503.0
In IIMAS,3.0
In ISWC,37.0
In In preparation,15.0
In Int. Conf. Data Engineering (ICDE,6.0
"In Integrating Data Mining and Knowledge Management, held in conjunction with the 2001 IEE International Conference on Data Mining (ICDM",1.0
In Integrating Data Mining and Knowledge Management; held in conjunction with the 2001 IEE International Conference on Data Mining (ICDM,13.0
In International Conference on Data Engineering (ICDE,14.0
"In International Conference on Extending Database Technology (EDBT09), Saint",4.0
In International Conference on Information and Knowledge Management (CIKM,7.0
In International Symposium on Principles of Database Systems (PODS,15.0
"In International Workshop on Spatial and Spatiotemporal Data Mining (SSTDM), in conjunction with IEEE ICDM, Dec 2008",6.0
In Intl. Conf. on Data Engineering,31.0
"In Mining Complex Data, ICDM 2008 Fourth International Workshop",2.0
In PODS,772.0
In PODS Conference,1808.0
In PODS06,11.0
In PVLDB,27.0
In Proc. 13th International Conference on Very Large Data Bases,72.0
In Proc. 1993 ACM-SIGMOD Conf. Management of Data,8.0
In Proc. 1995 Int. Conf. Very Large Data Bases,452.0
In Proc. 1997 ACM-SIGMOD Int. Conf. Management of Data,380.0
In Proc. 1999 SIGMOD&apos;99 Workshop on Research Issues on Data Mining and Knowledge Discovery (DMKD&apos;99,4.0
